ID,Nome,Idade,Sexo,Plano,Peso,Altura,Satisfacao
4,Diego,19,Masculino,Mensal,72,1.75,Baixa
17,Queila,21,Feminino,Mensal,57,1.63,Alta
1,Ana,22,Feminino,Mensal,58,1.62,Alta
11,Karina,23,Feminino,Mensal,59,1.61,Média
20,Tiago,25,Masculino,Mensal,74,1.73,Alta
13,Mariana,26,Feminino,Trimestral,62,1.66,Alta
7,Gabriela,27,Feminino,Mensal,55,1.6,Alta
3,Carla,28,Feminino,Trimestral,64,1.7,Alta
10,João,29,Masculino,Mensal,77,1.74,Alta
16,Paulo,30,Masculino,Trimestral,88,1.83,Alta
6,Felipe,31,Masculino,Trimestral,88,1.82,Média
12,Lucas,33,Masculino,Anual,88,1.8,Alta
2,Bruno,34,Masculino,Anual,82,1.78,Média
18,Rafael,35,Masculino,Anual,82,1.76,Média
9,Isabela,36,Feminino,Trimestral,68,1.68,Média
14,Nicolas,38,Masculino,Anual,92,1.84,Baixa
19,Sandra,39,Feminino,Trimestral,65,1.67,Alta
8,Henrique,40,Masculino,Anual,95,1.85,Baixa
15,Olívia,41,Feminino,Mensal,73,1.69,Média
5,Elisa,45,Feminino,Anual,70,1.65,Alta
